czas(min),alpha,temp,Ts
3810,0,"7,07","-1,29"
3825,0,"6,90","-1,23"
3840,0,"6,70","-1,18"
3855,0,"5,79","-1,17"
3870,0,"4,86","-1,17"
3885,0,"3,92","-1,18"
3900,0,"3,00","-1,19"
3915,0,"2,84","-1,18"
3930,0,"2,71","-1,16"
3945,1,"2,59","-1,44"
3960,1,"2,50","-1,48"
3975,1,"2,30","-1,49"
3990,1,"2,11","-1,55"
4005,1,"1,95","-1,71"
4020,1,"1,80","-1,8"
4035,1,"1,94","-1,85"
4050,1,"2,09","-1,89"
4065,0,"2,24","-1,7"
4080,0,"2,40","-1,68"
4095,0,"2,18","-1,69"
4110,1,"1,95","-1,8"
4125,1,"1,72",-2
4140,1,"1,50","-2,07"
4155,0,"1,39","-1,89"
4170,0,"1,29","-1,89"
4185,0,"1,19","-1,89"
4200,0,"1,10","-1,9"
4215,1,"0,99","-2,01"
4230,1,"0,88","-2,2"
4245,1,"0,79","-2,28"
4260,1,"0,70","-2,34"
4275,1,"0,69","-2,39"
4290,1,"0,68","-2,44"
4305,1,"0,69","-2,5"
4320,1,"0,70","-2,55"
4335,1,"0,66","-2,6"
4350,1,"0,63","-2,65"
4365,1,"0,61","-2,7"
4380,1,"0,60","-2,75"
4395,1,"0,82","-2,79"
4410,1,"1,04","-2,82"
4425,0,"1,27","-2,59"
4440,0,"1,50","-2,56"
4455,0,"1,56","-2,55"
4470,0,"1,61","-2,54"
4485,0,"1,66","-2,53"
4500,1,"1,70","-2,62"
4515,0,"1,57","-2,57"
4530,0,"1,44","-2,57"
4545,0,"1,32","-2,55"
4560,0,"1,20","-2,47"
4575,0,"1,12","-2,43"
4590,0,"1,06","-2,41"
4605,1,"1,02","-2,61"
4620,1,"1,00","-2,65"
4635,1,"1,00","-2,84"
4650,1,"1,04","-2,88"
4665,1,"1,10","-2,92"
4680,1,"1,20","-2,96"
4695,1,"1,68","-2,97"
4710,1,"2,19","-2,98"
4725,1,"2,74","-2,99"
4740,1,"3,30","-2,98"
4755,0,"3,86","-2,73"
4770,0,"4,43","-2,67"
4785,0,"5,02","-2,6"
4800,0,"5,60","-2,52"
4815,1,"6,03","-2,56"
4830,0,"6,46","-2,45"
4845,0,"6,88","-2,38"
4860,0,"7,30","-2,3"
4875,1,"7,66","-2,33"
4890,0,"8,01","-2,21"
4905,0,"8,36","-2,13"
4920,0,"8,70","-2,07"
4935,1,"9,06","-2,1"
4950,1,"9,41","-2,21"
4965,1,"9,76","-2,18"
4980,1,"10,10","-2,15"
4995,1,"10,62","-2,1"
5010,1,"11,13","-2,05"
5025,1,"11,62",-2
5040,0,"12,10","-1,69"
5055,1,"12,47","-1,68"
5070,1,"12,81","-1,77"
5085,1,"13,12","-1,72"
5100,1,"13,40","-1,67"
5115,1,"13,63","-1,62"
5130,0,"13,82","-1,34"
5145,1,"13,98","-1,32"
5160,1,"14,10","-1,25"
5175,1,"14,08","-1,2"
5190,1,"14,03","-1,29"
5205,0,"13,93","-1,03"
5220,0,"13,80","-0,94"
5235,0,"13,47","-0,86"
5250,0,"13,10","-0,63"
5265,0,"12,71","-0,51"
5280,0,"12,30","-0,43"
5295,0,"11,78","-0,36"
5310,0,"11,26","-0,29"
5325,1,"10,73","-0,74"
5340,0,"10,20","-0,54"
5355,0,"9,88","-0,5"
5370,0,"9,57","-0,47"
5385,1,"9,28","-0,55"
5400,1,"9,00","-0,57"
5415,1,"8,85","-0,72"
5430,0,"8,72","-0,51"
5445,1,"8,60","-0,57"
5460,1,"8,50","-0,72"
5475,1,"8,38","-0,74"
5490,0,"8,27","-0,53"
5505,0,"8,18","-0,49"
5520,1,"8,10","-0,57"
5535,1,"8,03","-0,72"
5550,1,"7,97","-0,75"
5565,0,"7,93","-0,54"
5580,0,"7,90","-0,5"
5595,0,"8,01","-0,47"
5610,0,"8,13","-0,43"
5625,1,"8,26","-0,51"
5640,1,"8,40","-0,52"
5655,1,"8,60","-0,65"
5670,1,"8,80","-0,66"
5685,1,"9,01","-0,67"
5700,1,"9,20","-0,67"
5715,1,"9,16","-0,68"
5730,1,"9,11","-0,7"
5745,1,"9,06","-0,71"
5760,0,"9,00","-0,49"
5775,0,"9,09","-0,44"
5790,0,"9,17","-0,39"
5805,0,"9,24","-0,15"
5820,1,"9,30","-0,54"
5835,0,"9,16","-0,19"
5850,0,"9,02","-0,04"
5865,0,"8,86","0,03"
5880,1,"8,70","-0,27"
5895,1,"8,44","-0,3"
5910,0,"8,19","-0,22"
5925,0,"7,94","-0,19"
5940,0,"7,70","-0,22"
5955,0,"7,68","-0,18"
5970,0,"7,67","0,06"
5985,0,"7,68","0,13"
6000,0,"7,70","0,19"
6015,0,"7,52","0,24"
6030,1,"7,35","-0,09"
6045,1,"7,21","-0,12"
6060,1,"7,10","-0,14"
6075,1,"7,20","-0,16"
6090,1,"7,33","-0,3"
6105,1,"7,50","-0,33"
6120,1,"7,70","-0,35"
6135,1,"8,02","-0,36"
6150,1,"8,38","-0,37"
6165,0,"8,78","-0,1"
6180,0,"9,20","-0,07"
6195,1,"10,25","-0,11"
6210,1,"11,31","-0,18"
6225,1,"12,36","-0,13"
6240,0,"13,40","0,15"
6255,0,"13,65","0,25"
6270,0,"13,86","0,5"
6285,0,"14,05","0,68"
6300,0,"14,20","0,8"
6315,1,"14,42","0,5"
6330,1,"14,60","0,51"
6345,1,"14,77","0,43"
6360,1,"14,90","0,45"
6375,0,"15,04","0,71"
6390,1,"15,16","0,69"
6405,1,"15,24","0,71"
6420,1,"15,30","0,62"
6435,1,"15,03","0,62"
6450,1,"14,73","0,62"
6465,1,"14,42","0,62"
6480,1,"14,10","0,61"
6495,0,"14,13","0,85"
6510,0,"14,16","0,92"
6525,0,"14,19","0,92"
6540,0,"14,20","0,99"
6555,1,"14,17","0,93"
6570,1,"14,13",1
6585,1,"14,07",1
6600,1,"14,00",1
6615,1,"13,90","0,93"
6630,1,"13,79","0,89"
6645,1,"13,66","0,88"
6660,1,"13,50","0,88"
6675,0,"12,97","1,07"
6690,0,"12,42","1,1"
6705,1,"11,86",1
6720,0,"11,30","1,08"
6735,0,"11,09","1,38"
6750,1,"10,89","1,06"
6765,1,"10,69","1,02"
6780,1,"10,50","0,99"
6795,1,"10,19","1,01"
6810,1,"9,89","0,95"
6825,1,"9,59","0,79"
6840,1,"9,30","0,74"
6855,1,"9,08","0,7"
6870,1,"8,88","0,65"
6885,1,"8,68","0,61"
6900,1,"8,50","0,56"
6915,1,"8,22","0,51"
6930,1,"7,96","0,46"
6945,1,"7,72","0,41"
6960,0,"7,50","0,58"
6975,0,"7,73","0,62"
6990,0,"7,98","0,87"
7005,1,"8,24","0,58"
7020,1,"8,50","0,55"
7035,0,"8,35","0,62"
7050,0,"8,20","0,64"
7065,1,"8,05","0,53"
7080,1,"7,90","0,49"
7095,1,"7,87","0,47"
7110,1,"7,85","0,31"
7125,1,"7,82","0,27"
7140,0,"7,80","0,61"
7155,0,"7,75","0,79"
7170,0,"7,70","0,85"
7185,1,"7,65","0,48"
7200,1,"7,60","0,44"
7215,1,"7,50","0,28"
7230,1,"7,39","0,23"
7245,0,"7,29","0,43"
7260,0,"7,20","0,44"
7275,0,"7,22","0,7"
7290,0,"7,24","0,77"
7305,0,"7,27","0,82"
7320,0,"7,30","0,87"
7335,0,"7,33","0,92"
7350,0,"7,36","0,96"
7365,0,"7,38","1,01"
7380,0,"7,40","1,06"
7395,1,"7,38","0,66"
7410,1,"7,36","0,49"
7425,1,"7,34","0,44"
7440,1,"7,30","0,39"
7455,0,"7,16","0,58"
7470,1,"7,01","0,49"
7485,1,"6,86","0,43"
7500,1,"6,70","0,26"
7515,1,"6,52","0,21"
7530,1,"6,34","0,15"
7545,0,"6,17","0,57"
7560,1,"6,00","0,09"
7575,1,"5,94","0,05"
7590,0,"5,88","0,23"
7605,0,"5,84","0,24"
7620,0,"5,80","0,46"
7635,0,"5,81","0,54"
7650,0,"5,83","0,58"
7665,1,"5,86","0,06"
7680,0,"5,90","0,25"
7695,0,"5,91","0,27"
7710,0,"5,94","0,22"
7725,1,"5,96","0,13"
7740,1,"6,00","-0,02"
7755,1,"6,07","-0,08"
7770,0,"6,14","0,11"
7785,0,"6,22","0,13"
7800,0,"6,30","0,37"
7815,1,"6,50","-0,09"
7830,1,"6,70","-0,13"
7845,1,"6,90","-0,16"
7860,1,"7,10","-0,19"
7875,1,"7,16","-0,22"
7890,1,"7,22","-0,25"
7905,0,"7,26","-0,06"
7920,1,"7,30","-0,13"
7935,0,"7,37","-0,05"
7950,1,"7,42","-0,12"
7965,1,"7,47","-0,14"
7980,0,"7,50","-0,06"
7995,0,"7,42","-0,04"
8010,0,"7,32","0,17"
8025,0,"7,21","0,26"
8040,0,"7,10","0,32"
8055,0,"6,95","0,36"
8070,0,"6,80","0,4"
8085,0,"6,65","0,43"
8100,1,"6,50","0,09"
8115,1,"6,45","0,03"
8130,1,"6,40","-0,13"
8145,1,"6,35","-0,18"
8160,1,"6,30","-0,23"
8175,1,"6,25","-0,27"
8190,1,"6,20","-0,32"
8205,0,"6,15","0,06"
8220,0,"6,10","0,18"
8235,0,"6,00","0,22"
8250,0,"5,90","0,26"
8265,0,"5,80","0,29"
8280,0,"5,70","0,32"
8295,0,"5,72","0,36"
8310,0,"5,75","0,4"
8325,0,"5,77","0,44"
8340,0,"5,80","0,47"
8355,1,"5,81","0,11"
8370,1,"5,81","0,02"
8385,1,"5,81","-0,11"
8400,1,"5,80","-0,16"
8415,0,"5,66","0,01"
8430,1,"5,51","-0,18"
8445,1,"5,36","-0,28"
8460,1,"5,20","-0,34"
8475,0,"5,10","-0,16"
8490,0,"5,00","-0,15"
8505,0,"4,90","0,06"
8520,0,"4,80","0,12"
8535,0,"4,62","0,14"
8550,1,"4,44","-0,37"
8565,1,"4,26","-0,44"
8580,1,"4,10","-0,51"
8595,1,"4,14","-0,56"
8610,1,"4,18","-0,61"
8625,1,"4,24","-0,66"
8640,1,"4,30","-0,71"
8655,1,"4,35","-0,76"
8670,1,"4,40","-0,81"
8685,0,"4,45","-0,49"
8700,0,"4,50","-0,35"
8715,0,"4,45","-0,31"
8730,0,"4,41","-0,28"
8745,0,"4,35","-0,25"
8760,0,"4,30","-0,23"
8775,0,"4,23","-0,2"
8790,0,"4,15","-0,18"
8805,0,"4,08","-0,16"
8820,1,"4,00","-0,5"
8835,0,"3,97","-0,45"
8850,0,"3,95","-0,43"
8865,1,"3,92","-0,56"
8880,0,"3,90","-0,51"
8895,0,"3,80","-0,5"
8910,0,"3,69","-0,31"
8925,1,"3,59","-0,63"
8940,0,"3,50","-0,58"
8955,0,"3,46","-0,58"
8970,0,"3,43","-0,6"
8985,0,"3,41","-0,6"
9000,0,"3,40","-0,42"
9015,1,"3,44","-0,72"
9030,1,"3,48","-0,89"
9045,1,"3,54","-0,96"
9060,0,"3,60","-0,78"
9075,0,"3,61","-0,77"
9090,1,"3,63","-0,88"
9105,1,"3,66","-1,05"
9120,1,"3,70","-1,11"
9135,0,"3,79","-0,91"
9150,0,"3,88","-0,9"
9165,0,"3,99","-0,89"
9180,0,"4,10","-0,88"
9195,0,"4,32","-0,7"
9210,0,"4,54","-0,63"
9225,1,"4,77","-1,01"
9240,1,"5,00","-1,09"
9255,1,"5,10","-1,12"
9270,1,"5,20","-1,16"
9285,1,"5,30","-1,19"
9300,1,"5,40","-1,22"
9315,0,"5,58","-1,01"
9330,0,"5,76","-0,97"
9345,1,"5,93","-1,05"
9360,1,"6,10","-1,2"
9375,1,"6,22","-1,23"
9390,0,"6,32","-1,02"
9405,0,"6,42","-0,98"
9420,0,"6,50","-0,94"
9435,0,"6,49","-0,73"
9450,0,"6,47","-0,67"
9465,0,"6,44","-0,61"
9480,0,"6,40","-0,57"
9495,0,"6,39","-0,52"
9510,0,"6,37","-0,47"
9525,0,"6,34","-0,42"
9540,0,"6,30","-0,38"
9555,0,"6,18","-0,34"
9570,0,"6,06","-0,3"
9585,1,"5,93","-0,77"
9600,1,"5,80","-0,82"
9615,1,"5,78","-0,86"
9630,1,"5,75","-0,9"
9645,1,"5,73","-0,93"
9660,0,"5,70","-0,74"
9675,0,"5,63","-0,72"
9690,0,"5,55","-0,71"
9705,0,"5,48","-0,6"
9720,0,"5,40","-0,48"
9735,0,"5,33","-0,43"
9750,0,"5,25","-0,39"
9765,1,"5,18","-0,71"
9780,1,"5,10","-0,7"
9795,1,"5,08","-0,75"
9810,1,"5,05","-0,9"
9825,0,"5,03","-0,73"
9840,0,"5,00","-0,71"
9855,1,"4,88","-0,81"
9870,1,"4,75","-0,79"
9885,0,"4,63","-0,74"
9900,1,"4,50","-0,85"
9915,1,"4,51",-1
9930,1,"4,51","-1,07"
9945,1,"4,51","-1,12"
9960,1,"4,50","-1,16"
9975,1,"4,31","-1,21"
9990,1,"4,11","-1,27"
10005,0,"3,91","-1,09"
10020,0,"3,70","-1,08"
10035,0,"3,52","-1,08"
10050,1,"3,34","-1,2"
10065,1,"3,17","-1,23"
10080,1,"3,00","-1,37"
10095,0,"2,89","-1,24"
10110,0,"2,79","-1,23"
10125,0,"2,69","-1,23"
10140,1,"2,60","-1,34"
10155,1,"2,60","-1,39"
10170,1,"2,60","-1,57"
10185,0,"2,60","-1,39"
10200,0,"2,60","-1,38"
10215,1,"2,50","-1,47"
10230,1,"2,40","-1,51"
10245,0,"2,30","-1,47"
10260,0,"2,20","-1,46"
10275,0,"1,94","-1,4"
10290,0,"1,69","-1,32"
10305,1,"1,44","-1,59"
10320,0,"1,20","-1,56"
10335,0,"1,15","-1,57"
10350,0,"1,12","-1,57"
10365,0,"1,10","-1,45"
10380,1,"1,10","-1,69"
10395,1,"1,15","-1,73"
10410,0,"1,22","-1,69"
10425,1,"1,31","-1,79"
10440,0,"1,40","-1,74"
10455,0,"1,54","-1,73"
10470,0,"1,69","-1,71"
10485,0,"1,84","-1,56"
10500,0,"2,00","-1,52"
10515,0,"2,17","-1,49"
10530,1,"2,35","-1,73"
10545,1,"2,53","-1,76"
10560,1,"2,70","-1,92"
10575,1,"2,76","-1,98"
10590,0,"2,81","-1,76"
10605,0,"2,86","-1,75"
10620,0,"2,90","-1,73"
10635,1,"2,95","-1,82"
10650,1,"3,00","-1,86"
10665,1,"3,05","-2,03"
10680,0,"3,10","-1,82"
10695,0,"3,18","-1,8"
10710,1,"3,25","-1,89"
10725,0,"3,33","-1,83"
10740,0,"3,40","-1,81"
10755,0,"3,48","-1,78"
10770,1,"3,56","-1,86"
10785,1,"3,63","-1,89"
10800,1,"3,70","-2,08"
10815,1,"3,76","-2,09"
10830,1,"3,81","-2,12"
10845,1,"3,86","-2,15"
10860,1,"3,90","-2,18"
10875,1,"3,94","-2,21"
10890,1,"3,96","-2,24"
10905,0,"3,99","-2,03"
10920,0,"4,00",-2
10935,1,"4,07","-2,09"
10950,1,"4,12","-2,24"
10965,0,"4,17","-2,03"
10980,0,"4,20",-2
10995,0,"4,12","-1,98"
11010,0,"4,03","-1,95"
11025,0,"3,92","-1,81"
11040,0,"3,80","-1,76"
11055,0,"3,56","-1,74"
11070,0,"3,32","-1,71"
11085,0,"3,06","-1,69"
11100,0,"2,80","-1,68"
11115,0,"2,65","-1,66"
11130,1,"2,51","-1,9"
11145,1,"2,35","-1,94"
11160,0,"2,20","-1,89"
11175,0,"2,05","-1,89"
11190,0,"1,91","-1,88"
11205,0,"1,76","-1,77"
11220,0,"1,60","-1,73"
11235,0,"1,11","-1,74"
11250,0,"0,63","-1,75"
11265,0,"0,15","-1,76"
11280,0,"-0,30","-1,78"
11295,0,"-0,12","-1,77"
11310,0,"0,07","-1,75"
11325,0,"0,28","-1,74"
11340,0,"0,50","-1,72"
11355,0,"0,37","-1,72"
11370,0,"0,24","-1,71"
11385,0,"0,12","-1,71"
11400,0,"0,00","-1,72"
11415,0,"0,05","-1,71"
11430,0,"0,10","-1,7"
11445,0,"0,15","-1,69"
11460,0,"0,20","-1,68"
11475,0,"0,02","-1,69"
11490,0,"-0,15","-1,69"
11505,1,"-0,33","-1,96"
11520,1,"-0,50","-2,03"
11535,1,"-0,59","-2,24"
11550,1,"-0,67","-2,31"
11565,1,"-0,74","-2,38"
11580,0,"-0,80","-2,21"
11595,0,"-0,88","-2,22"
11610,1,"-0,94","-2,41"
11625,1,"-0,98","-2,55"
11640,1,"-1,00","-2,62"
11655,1,"-0,72","-2,67"
11670,0,"-0,42","-2,47"
11685,1,"-0,12","-2,54"
11700,1,"0,20","-2,72"
11715,1,"0,40","-2,77"
11730,0,"0,60","-2,49"
11745,0,"0,80","-2,4"
11760,0,"1,00","-2,37"
11775,0,"0,92","-2,35"
11790,0,"0,84","-2,33"
11805,0,"0,77","-2,32"
11820,1,"0,70","-2,54"
11835,1,"0,88","-2,57"
11850,1,"1,08","-2,75"
11865,1,"1,28","-2,78"
11880,1,"1,50","-2,81"
11895,1,"1,72","-2,84"
11910,1,"1,94","-2,87"
11925,1,"2,17","-2,89"
11940,1,"2,40","-2,91"
11955,1,"2,65","-2,93"
11970,1,"2,90","-2,95"
11985,1,"3,15","-2,96"
12000,1,"3,40","-2,97"
12015,1,"3,63","-2,98"
12030,1,"3,86","-2,99"
12045,1,"4,08","-2,99"
12060,1,"4,30",-3
12075,1,"4,61",-3
12090,1,"4,92","-2,99"
12105,1,"5,22","-2,98"
12120,0,"5,50","-2,73"
12135,0,"5,78","-2,68"
12150,1,"6,05","-2,71"
12165,0,"6,29","-2,6"
12180,1,"6,50","-2,62"
12195,0,"6,36","-2,53"
12210,1,"6,20","-2,72"
12225,1,"6,01","-2,75"
12240,1,"5,80","-2,77"
12255,1,"5,61","-2,78"
12270,1,"5,41","-2,8"
12285,1,"5,21","-2,82"
12300,1,"5,00","-2,84"
12315,0,"4,92","-2,59"
12330,1,"4,85","-2,72"
12345,1,"4,77","-2,82"
12360,1,"4,70","-2,84"
12375,1,"4,65","-2,86"
12390,1,"4,60","-2,87"
12405,0,"4,55","-2,64"
12420,0,"4,50","-2,6"
12435,1,"4,40","-2,66"
12450,1,"4,30","-2,61"
12465,1,"4,20","-2,64"
12480,1,"4,10","-2,61"
12495,0,"4,02","-2,52"
12510,0,"3,94","-2,4"
12525,1,"3,87","-2,57"
12540,1,"3,80","-2,58"
12555,1,"3,74","-2,75"
12570,1,"3,69","-2,78"
12585,1,"3,64","-2,81"
12600,1,"3,60","-2,83"
12615,0,"3,59","-2,59"
12630,0,"3,59","-2,56"
12645,0,"3,60","-2,53"
12660,1,"3,60","-2,61"
12675,1,"3,62","-2,6"
12690,1,"3,65","-2,61"
12705,0,"3,68","-2,54"
12720,0,"3,70","-2,51"
12735,0,"3,68","-2,48"
12750,0,"3,65","-2,44"
12765,1,"3,63","-2,52"
12780,1,"3,60","-2,54"
12795,1,"3,55","-2,71"
12810,1,"3,50","-2,74"
12825,1,"3,45","-2,77"
12840,1,"3,40","-2,79"
12855,0,"3,35","-2,56"
12870,0,"3,30","-2,53"
12885,0,"3,25","-2,5"
12900,0,"3,20","-2,4"
12915,1,"3,20","-2,56"
12930,1,"3,20","-2,58"
12945,1,"3,20","-2,75"
12960,1,"3,20","-2,78"
12975,1,"3,23","-2,8"
12990,1,"3,26","-2,83"
13005,0,"3,28","-2,59"
13020,0,"3,30","-2,56"
13035,0,"3,12","-2,53"
13050,1,"2,95","-2,63"
13065,1,"2,77","-2,65"
13080,0,"2,60","-2,59"
13095,1,"2,64","-2,6"
13110,1,"2,69","-2,64"
13125,1,"2,74","-2,81"
13140,1,"2,80","-2,85"
13155,1,"2,72","-2,88"
13170,1,"2,64","-2,91"
13185,1,"2,57","-2,94"
13200,1,"2,50","-2,98"
13215,1,"2,56",-3
13230,0,"2,63","-2,79"
13245,1,"2,71","-3,01"
13260,1,"2,80","-3,03"
13275,0,"2,81","-2,82"
13290,1,"2,84","-3,04"
13305,1,"2,86","-3,07"
13320,1,"2,90","-3,09"
13335,1,"3,01","-3,11"
13350,1,"3,13","-3,13"
13365,1,"3,26","-3,14"
13380,1,"3,40","-3,15"
13395,0,"3,54","-2,93"
13410,0,"3,69","-2,9"
13425,0,"3,84","-2,85"
13440,0,"4,00","-2,81"
13455,0,"4,15","-2,76"
13470,0,"4,30","-2,72"
13485,0,"4,45","-2,7"
13500,0,"4,60","-2,65"
13515,0,"4,83","-2,54"
13530,0,"5,06","-2,44"
13545,0,"5,28","-2,37"
13560,0,"5,50","-2,3"
13575,0,"5,62","-2,24"
13590,1,"5,72","-2,41"
13605,1,"5,82","-2,55"
13620,1,"5,90","-2,57"
13635,1,"5,94","-2,58"
13650,1,"5,97","-2,58"
13665,0,"5,99","-2,35"
13680,0,"6,00","-2,31"
13695,0,"5,93","-2,27"
13710,1,"5,86","-2,32"
13725,1,"5,78","-2,26"
13740,1,"5,70","-2,29"
13755,1,"5,80","-2,43"
13770,0,"5,91","-2,21"
13785,1,"6,01","-2,2"
13800,1,"6,10","-2,21"
13815,1,"6,08","-2,22"
13830,1,"6,06","-2,36"
13845,1,"6,03","-2,37"
13860,0,"6,00","-2,14"
13875,0,"5,93","-2,1"
13890,0,"5,86","-2,06"
13905,1,"5,78","-2,14"
13920,1,"5,70","-2,32"
13935,1,"5,70","-2,32"
13950,1,"5,70","-2,33"
13965,0,"5,70","-2,1"
13980,1,"5,70","-2,23"
13995,0,"5,63","-1,98"
14010,0,"5,55","-1,87"
14025,0,"5,48","-1,8"
14040,0,"5,40","-1,75"
14055,0,"5,37","-1,7"
14070,0,"5,35","-1,65"
14085,0,"5,32","-1,61"
14100,0,"5,30","-1,56"
14115,1,"5,25","-1,79"
14130,1,"5,20","-1,8"
14145,0,"5,15","-1,73"
14160,0,"5,10","-1,7"
14175,0,"5,13","-1,66"
14190,1,"5,15","-1,74"
14205,1,"5,18","-1,75"
14220,1,"5,20","-1,75"
14235,1,"5,13","-1,91"
14250,1,"5,06","-1,94"
14265,0,"4,98","-1,72"
14280,0,"4,90","-1,69"
14295,0,"4,88","-1,67"
14310,0,"4,86","-1,67"
14325,0,"4,83","-1,64"
14340,0,"4,80","-1,5"
14355,1,"4,76","-1,86"
14370,1,"4,72","-1,91"
14385,1,"4,67","-1,94"
14400,1,"4,60","-1,97"
14415,1,"4,42","-2,01"
14430,1,"4,22","-2,04"
14445,1,"4,01","-2,08"
14460,1,"3,80","-2,13"
14475,0,"3,48","-1,94"
14490,0,"3,15","-1,93"
14505,0,"2,82","-1,93"
14520,0,"2,50","-1,94"
14535,1,"2,23","-2,03"
14550,0,"1,97","-1,98"
14565,1,"1,73","-2,1"
14580,1,"1,50","-2,3"
14595,0,"1,45","-2,12"
14610,0,"1,42","-2,11"
14625,0,"1,40","-2,1"
14640,0,"1,40","-2,1"
14655,0,"1,33",-2
14670,0,"1,27","-1,96"
14685,0,"1,23","-1,93"
14700,0,"1,20","-1,92"
14715,0,"1,33","-1,89"
14730,0,"1,48","-1,87"
14745,0,"1,63","-1,84"
14760,1,"1,80","-2,05"
14775,1,"1,81","-2,1"
14790,1,"1,83","-2,29"
14805,0,"1,86","-2,1"
14820,0,"1,90","-2,09"
14835,0,"2,01","-2,07"
14850,1,"2,13","-2,17"
14865,1,"2,26","-2,34"
14880,1,"2,40","-2,38"
14895,0,"2,64","-2,17"
14910,1,"2,89","-2,37"
14925,1,"3,14","-2,41"
14940,1,"3,40","-2,43"
14955,1,"3,60","-2,45"
14970,1,"3,81","-2,47"
14985,1,"4,01","-2,48"
15000,1,"4,20","-2,5"
15015,1,"4,39","-2,51"
15030,1,"4,57","-2,52"
15045,1,"4,74","-2,53"
15060,1,"4,90","-2,54"
15075,1,"5,05","-2,55"
15090,1,"5,18","-2,56"
15105,1,"5,30","-2,57"
15120,1,"5,40","-2,57"
15135,0,"5,35","-2,35"
15150,0,"5,28","-2,31"
15165,0,"5,19","-2,28"
15180,1,"5,10","-2,34"
15195,1,"5,03","-2,51"
15210,1,"4,96","-2,53"
15225,1,"4,88","-2,55"
15240,1,"4,80","-2,57"
15255,1,"4,75","-2,59"
15270,1,"4,71","-2,61"
15285,0,"4,65","-2,39"
15300,1,"4,60","-2,44"
15315,1,"4,55","-2,6"
15330,1,"4,50","-2,63"
15345,0,"4,45","-2,41"
15360,0,"4,40","-2,38"
15375,0,"4,27","-2,35"
15390,0,"4,15","-2,31"
15405,1,"4,02","-2,4"
15420,0,"3,90","-2,34"
15435,1,"3,92","-2,41"
15450,1,"3,94","-2,57"
15465,0,"3,97","-2,35"
15480,1,"4,00","-2,56"
15495,1,"3,97","-2,6"
15510,1,"3,95","-2,62"
15525,1,"3,92","-2,64"
15540,1,"3,90","-2,67"
15555,1,"3,85","-2,69"
15570,1,"3,80","-2,72"
15585,1,"3,75","-2,74"
15600,1,"3,70","-2,77"
15615,1,"3,75","-2,79"
15630,1,"3,80","-2,81"
15645,0,"3,85","-2,56"
15660,0,"3,90","-2,52"
15675,0,"3,83","-2,49"
15690,0,"3,75","-2,38"
15705,0,"3,68","-2,32"
15720,0,"3,60","-2,28"
15735,0,"3,58","-2,24"
15750,0,"3,55","-2,21"
15765,1,"3,53","-2,4"
15780,0,"3,50","-2,33"
15795,1,"3,42","-2,41"
15810,1,"3,35","-2,59"
15825,1,"3,27","-2,62"
15840,1,"3,20","-2,65"
15855,0,"3,20","-2,45"
15870,0,"3,20","-2,42"
15885,0,"3,20","-2,4"
15900,0,"3,20","-2,36"
15915,1,"3,17","-2,45"
15930,1,"3,15","-2,45"
15945,1,"3,12","-2,47"
15960,1,"3,10","-2,64"
15975,1,"3,10","-2,68"
15990,0,"3,10","-2,47"
16005,0,"3,10","-2,44"
16020,1,"3,10","-2,51"
16035,1,"3,10","-2,47"
16050,1,"3,10","-2,5"
16065,1,"3,10","-2,47"
16080,1,"3,10","-2,5"
16095,1,"3,07","-2,47"
16110,0,"3,04","-2,38"
16125,1,"3,02","-2,48"
16140,1,"3,00","-2,5"
16155,0,"3,02","-2,43"
16170,1,"3,04","-2,49"
16185,0,"3,07","-2,42"
16200,0,"3,10","-2,4"
16215,1,"3,14","-2,46"
16230,0,"3,19","-2,4"
16245,0,"3,24","-2,37"
16260,0,"3,30","-2,34"
16275,1,"3,39","-2,41"
16290,1,"3,49","-2,42"
16305,1,"3,59","-2,59"
16320,1,"3,70","-2,61"
16335,1,"3,79","-2,63"
16350,0,"3,89","-2,42"
16365,0,"3,99","-2,38"
16380,0,"4,10","-2,34"
16395,1,"4,35","-2,39"
16410,1,"4,60","-2,39"
16425,1,"4,85","-2,54"
16440,1,"5,10","-2,55"
16455,1,"5,29","-2,55"
16470,1,"5,47","-2,55"
16485,1,"5,64","-2,56"
16500,1,"5,80","-2,56"
16515,1,"5,87","-2,56"
16530,1,"5,93","-2,57"
16545,0,"5,97","-2,34"
16560,0,"6,00","-2,29"
16575,0,"5,94","-2,25"
16590,0,"5,87","-2,2"
16605,0,"5,79","-2,16"
16620,0,"5,70","-2,03"
16635,0,"5,68","-1,95"
16650,0,"5,66","-1,89"
16665,0,"5,63","-1,84"
16680,0,"5,60","-1,79"
16695,1,"5,61","-2,17"
16710,0,"5,61","-1,94"
16725,0,"5,61","-1,9"
16740,0,"5,60","-1,88"
16755,0,"5,51","-1,86"
16770,0,"5,41","-1,83"
16785,1,"5,31","-1,91"
16800,1,"5,20","-1,92"
16815,1,"5,10","-2,08"
16830,1,"5,00","-2,12"
16845,1,"4,90","-2,14"
16860,1,"4,80","-2,17"
16875,1,"4,77","-2,2"
16890,1,"4,75","-2,22"
16905,1,"4,72","-2,24"
16920,1,"4,70","-2,27"
16935,1,"4,68","-2,29"
16950,1,"4,65","-2,31"
16965,1,"4,63","-2,34"
16980,1,"4,60","-2,36"
16995,1,"4,53","-2,38"
17010,0,"4,45","-2,17"
17025,0,"4,38","-2,14"
17040,0,"4,30","-2,11"
