czas(min),alpha,temp,Ts
38790,1,"9,64","0,91"
38805,1,"9,57","0,87"
38820,1,"9,50","0,83"
38835,1,"9,40","0,8"
38850,1,"9,29","0,76"
38865,1,"9,20","0,72"
38880,1,"9,10","0,68"
38895,1,"8,97","0,64"
38910,1,"8,84","0,6"
38925,1,"8,72","0,56"
38940,1,"8,60","0,51"
38955,1,"8,57","0,48"
38970,1,"8,55","0,44"
38985,0,"8,52","0,64"
39000,0,"8,50","0,67"
39015,0,"8,37","0,94"
39030,1,"8,25","0,58"
39045,1,"8,12","0,47"
39060,1,"8,00","0,38"
39075,0,"7,73","0,56"
39090,0,"7,47","0,58"
39105,0,"7,23","0,83"
39120,0,"7,00","0,89"
39135,1,"6,91","0,51"
39150,1,"6,85","0,48"
39165,1,"6,81","0,44"
39180,1,"6,80","0,28"
39195,1,"7,12","0,24"
39210,1,"7,46","0,21"
39225,1,"7,82","0,19"
39240,1,"8,20","0,17"
39255,1,"8,42","0,15"
39270,1,"8,64","0,13"
39285,1,"8,87","0,12"
39300,1,"9,10","0,1"
39315,1,"9,30","0,09"
39330,1,"9,50","0,07"
39345,1,"9,70","0,06"
39360,1,"9,90","0,05"
39375,0,"10,13","0,28"
39390,0,"10,35","0,34"
39405,0,"10,58","0,37"
39420,0,"10,80","0,41"
39435,0,"10,87","0,63"
39450,0,"10,94","0,79"
39465,1,"11,02","0,47"
39480,1,"11,10","0,48"
39495,0,"11,39","0,6"
39510,0,"11,69","0,89"
39525,0,"11,99","1,03"
39540,0,"12,30","1,14"
39555,0,"12,55","1,24"
39570,1,"12,80","0,89"
39585,1,"13,05","0,91"
39600,0,"13,30","1,03"
39615,0,"13,77","1,11"
39630,0,"14,23","1,1"
39645,1,"14,67","0,97"
39660,0,"15,10","1,22"
39675,0,"15,29","1,31"
39690,0,"15,46","1,68"
39705,1,"15,59","1,36"
39720,1,"15,70","1,39"
39735,1,"15,82","1,42"
39750,0,"15,92","1,56"
39765,0,"15,98","1,92"
39780,1,"16,00","1,58"
39795,1,"15,88","1,59"
39810,0,"15,72","1,71"
39825,1,"15,53","1,65"
39840,1,"15,30","1,55"
39855,1,"14,89","1,52"
39870,1,"14,45","1,49"
39885,1,"13,99","1,47"
39900,1,"13,50","1,43"
39915,0,"13,20","1,63"
39930,1,"12,88","1,54"
39945,1,"12,55","1,41"
39960,0,"12,20","1,6"
39975,1,"11,45","1,49"
39990,1,"10,70","1,31"
40005,1,"9,95","1,24"
40020,1,"9,20","1,16"
40035,1,"8,74","1,1"
40050,1,"8,31","1,03"
40065,1,"7,89","0,96"
40080,0,"7,50","1,12"
40095,0,"7,64","1,14"
40110,0,"7,79","1,39"
40125,0,"7,95","1,51"
40140,1,"8,10","1,11"
40155,1,"7,48","1,05"
40170,1,"6,85","0,97"
40185,0,"6,22",1
40200,0,"5,60","0,97"
40215,0,"5,37","1,2"
40230,0,"5,16","1,26"
40245,0,"4,97","1,28"
40260,1,"4,80","0,84"
40275,1,"4,60","0,64"
40290,1,"4,41","0,55"
40305,1,"4,25","0,47"
40320,1,"4,10","0,4"
40335,1,"4,07","0,33"
40350,1,"4,06","0,26"
40365,0,"4,07","0,45"
40380,1,"4,10","0,32"
40395,1,"3,92","0,25"
40410,1,"3,75","0,06"
40425,1,"3,61","-0,02"
40440,0,"3,50","0,14"
40455,0,"3,77","0,14"
40470,1,"4,06","0,03"
40485,1,"4,37","0,07"
40500,1,"4,70","0,01"
40515,1,"4,59","-0,05"
40530,1,"4,50","-0,23"
40545,1,"4,44","-0,3"
40560,0,"4,40","0,07"
40575,1,"4,30","-0,35"
40590,1,"4,24","-0,41"
40605,1,"4,24","-0,47"
40620,0,"4,30","-0,29"
40635,0,"5,81","-0,21"
40650,0,"7,36","-0,12"
40665,1,"8,93","-0,13"
40680,1,"10,50","-0,2"
40695,1,"11,07","-0,19"
40710,0,"11,61","0,06"
40725,0,"12,12","0,14"
40740,0,"12,60","0,23"
40755,0,"12,76","0,53"
40770,0,"12,90","0,66"
40785,0,"13,01","0,76"
40800,0,"13,10","0,86"
40815,0,"13,50","0,98"
40830,0,"13,88","1,09"
40845,0,"14,25","1,21"
40860,1,"14,60","0,89"
40875,1,"14,96","0,92"
40890,1,"15,30","0,97"
40905,1,"15,61","1,02"
40920,1,"15,90","0,97"
40935,1,"16,23","0,98"
40950,1,"16,53","1,01"
40965,1,"16,79","1,04"
40980,0,"17,00","1,3"
40995,0,"16,98","1,39"
41010,1,"16,90","1,34"
41025,0,"16,78","1,47"
41040,0,"16,60","1,77"
41055,1,"15,69","1,47"
41070,1,"14,74","1,41"
41085,0,"13,77","1,48"
41100,0,"12,80","1,48"
41115,0,"12,66","1,51"
41130,0,"12,53","1,84"
41145,0,"12,42","1,95"
41160,0,"12,30","2,02"
41175,0,"11,70","2,07"
41190,0,"11,11","2,11"
41205,0,"10,54","2,15"
41220,0,"10,00","2,18"
41235,1,"10,09","1,72"
41250,1,"10,21","1,73"
41265,1,"10,35","1,69"
41280,1,"10,50","1,55"
41295,1,"10,47","1,52"
41310,1,"10,44","1,48"
41325,1,"10,42","1,44"
41340,1,"10,40","1,41"
41355,1,"10,35","1,37"
41370,0,"10,30","1,55"
41385,0,"10,25","1,58"
41400,1,"10,20","1,48"
41415,0,"10,02","1,55"
41430,1,"9,85","1,44"
41445,0,"9,67","1,51"
41460,0,"9,50","1,82"
41475,0,"9,47","1,91"
41490,0,"9,45","1,97"
41505,0,"9,42","2,02"
41520,0,"9,40","2,07"
41535,0,"9,33","2,12"
41550,0,"9,25","2,17"
41565,0,"9,18","2,22"
41580,0,"9,10","2,26"
41595,1,"9,03","1,78"
41610,1,"8,95","1,61"
41625,1,"8,88","1,56"
41640,1,"8,80","1,51"
41655,0,"8,78","1,68"
41670,0,"8,76","1,68"
41685,0,"8,74","1,69"
41700,1,"8,70","1,57"
41715,1,"8,46","1,51"
41730,1,"8,21","1,47"
41745,1,"7,96","1,46"
41760,0,"7,70","1,49"
41775,0,"7,47","1,46"
41790,1,"7,24","1,34"
41805,1,"7,02","1,28"
41820,1,"6,80","1,1"
41835,1,"6,69","1,03"
41850,0,"6,58","1,19"
41865,0,"6,49","1,19"
41880,0,"6,40","1,46"
41895,0,"6,26","1,52"
41910,0,"6,13","1,54"
41925,1,"6,01","1,11"
41940,1,"5,90","1,04"
41955,1,"5,91","0,88"
41970,1,"5,93","0,81"
41985,1,"5,96","0,75"
42000,1,"6,00","0,69"
42015,1,"5,96","0,63"
42030,1,"5,93","0,57"
42045,0,"5,91","0,74"
42060,0,"5,90","0,74"
42075,1,"5,88","0,62"
42090,1,"5,88","0,54"
42105,0,"5,88","0,62"
42120,1,"5,90","0,52"
42135,1,"6,01","0,52"
42150,1,"6,13","0,47"
42165,1,"6,26","0,31"
42180,0,"6,40","0,49"
42195,0,"6,52","0,52"
42210,0,"6,64","0,5"
42225,0,"6,77","0,51"
42240,1,"6,90","0,4"
42255,0,"7,20","0,49"
42270,1,"7,51","0,4"
42285,1,"7,81","0,41"
42300,1,"8,10","0,4"
42315,0,"8,09","0,47"
42330,0,"8,07","0,5"
42345,0,"8,04","0,76"
42360,0,"8,00","0,84"
42375,0,"8,08","0,9"
42390,0,"8,16","0,95"
42405,0,"8,23","1,01"
42420,0,"8,30","1,06"
42435,1,"8,33","0,67"
42450,1,"8,35","0,62"
42465,1,"8,38","0,49"
42480,1,"8,40","0,45"
42495,1,"8,50","0,42"
42510,1,"8,60","0,39"
42525,1,"8,70","0,37"
42540,1,"8,80","0,34"
42555,1,"8,86","0,31"
42570,1,"8,91","0,28"
42585,1,"8,96","0,26"
42600,1,"9,00","0,23"
42615,1,"9,01","0,2"
42630,1,"9,01","0,18"
42645,0,"9,01","0,38"
42660,1,"9,00","0,2"
42675,1,"9,01","0,14"
42690,0,"9,01","0,32"
42705,0,"9,01","0,36"
42720,0,"9,00","0,4"
42735,0,"8,96","0,68"
42750,0,"8,91","0,75"
42765,0,"8,86","0,81"
42780,0,"8,80","0,87"
42795,0,"8,65","0,92"
42810,1,"8,50","0,55"
42825,1,"8,35","0,52"
42840,0,"8,20","0,59"
42855,0,"8,12","0,6"
42870,0,"8,04","0,59"
42885,0,"7,97","0,84"
42900,0,"7,90","0,93"
42915,0,"7,92","0,99"
42930,0,"7,94","1,04"
42945,0,"7,97","1,09"
42960,0,"8,00","1,14"
42975,1,"8,02","0,75"
42990,1,"8,05","0,71"
43005,1,"8,07","0,55"
43020,0,"8,10","0,75"
43035,0,"8,10","0,78"
43050,1,"8,10","0,67"
43065,1,"8,10","0,64"
43080,0,"8,10","0,71"
43095,0,"8,07","0,73"
43110,1,"8,04","0,62"
43125,1,"8,02","0,59"
43140,1,"8,00","0,44"
43155,1,"8,02","0,39"
43170,1,"8,04","0,36"
43185,1,"8,07","0,32"
43200,1,"8,10","0,29"
43215,1,"8,09","0,25"
43230,1,"8,08","0,21"
43245,1,"8,09","0,18"
43260,0,"8,10","0,44"
43275,0,"8,13","0,69"
43290,0,"8,17","0,77"
43305,0,"8,23","0,83"
43320,1,"8,30","0,47"
43335,0,"8,55","0,55"
43350,0,"8,82","0,57"
43365,1,"9,11","0,49"
43380,1,"9,40","0,51"
43395,1,"9,75","0,51"
43410,1,"10,10","0,52"
43425,1,"10,45","0,39"
43440,1,"10,80","0,39"
43455,1,"10,87","0,38"
43470,1,"10,95","0,37"
43485,1,"11,02","0,36"
43500,1,"11,10","0,35"
43515,1,"11,23","0,35"
43530,1,"11,37","0,34"
43545,1,"11,53","0,34"
43560,1,"11,70","0,34"
43575,1,"12,16","0,35"
43590,0,"12,63","0,6"
43605,0,"13,11","0,69"
43620,0,"13,60","0,76"
43635,0,"13,95","0,77"
43650,0,"14,30","0,86"
43665,1,"14,65","0,83"
43680,1,"15,00","0,93"
43695,1,"15,36","0,95"
43710,1,"15,72","0,98"
43725,1,"16,06","0,9"
43740,0,"16,40","1,16"
43755,0,"16,61","1,26"
43770,0,"16,82","1,64"
43785,1,"17,01","1,31"
43800,1,"17,20","1,25"
43815,1,"17,43","1,27"
43830,0,"17,66","1,53"
43845,0,"17,88","1,64"
43860,0,"18,10","2,04"
43875,0,"18,42","2,21"
43890,0,"18,72","2,36"
43905,0,"19,02","2,5"
43920,1,"19,30","2,13"
43935,1,"19,53","2,19"
43950,0,"19,74","2,34"
43965,0,"19,93","2,4"
43980,0,"20,10","2,48"
43995,0,"20,19","2,53"
44010,0,"20,25","2,61"
44025,1,"20,29","2,58"
44040,1,"20,30","2,61"
44055,1,"20,19","2,54"
44070,1,"20,05","2,55"
44085,0,"19,89","2,79"
44100,0,"19,70","2,85"
44115,0,"19,53","2,86"
44130,1,"19,34","2,81"
44145,0,"19,13","2,95"
44160,0,"18,90","3,04"
44175,0,"18,60","3,44"
44190,0,"18,28","3,58"
44205,0,"17,95","3,68"
44220,0,"17,60","3,77"
44235,0,"17,05","3,85"
44250,1,"16,50","3,24"
44265,1,"15,95","3,16"
44280,0,"15,40","3,68"
44295,0,"14,97","3,85"
44310,0,"14,56","3,91"
44325,1,"14,17","3,29"
44340,1,"13,80","3,2"
44355,1,"14,01","3,17"
44370,1,"14,24","3,15"
44385,1,"14,47","3,13"
44400,1,"14,70","3,11"
44415,1,"14,39","3,06"
44430,0,"14,07","3,58"
44445,1,"13,74","3,04"
44460,1,"13,40","2,98"
44475,1,"13,18","2,94"
44490,1,"12,95","2,89"
44505,1,"12,73","2,84"
44520,1,"12,50","2,78"
44535,0,"12,25","2,95"
44550,1,"12,00","2,83"
44565,0,"11,75","2,9"
44580,0,"11,50","2,96"
44595,1,"11,27","2,78"
44610,1,"11,04","2,72"
44625,1,"10,81","2,56"
